"","FULLID","MODEL","CODE","INST","LIBVER","CALCVAL","CALCERR"
"201","HEU-COMP-THERM-021-051",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00924,0.00043
"202","HEU-COMP-THERM-021-051",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01261,0.00044
"203","HEU-COMP-THERM-021-052",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00953,4e-04
"204","HEU-COMP-THERM-021-052",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01145,0.00045
"205","HEU-COMP-THERM-021-053",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01083,0.00041
"206","HEU-COMP-THERM-021-053",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01181,0.00041
"207","HEU-COMP-THERM-021-054",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00902,0.00035
"208","HEU-COMP-THERM-021-054",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01014,0.00045
"209","HEU-COMP-THERM-021-055",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00964,0.00046
"210","HEU-COMP-THERM-021-055",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00966,0.00041
"211","HEU-COMP-THERM-021-056",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00815,0.00047
"212","HEU-COMP-THERM-021-056",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00842,4e-04
"213","HEU-COMP-THERM-021-057",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.008,0.00038
"214","HEU-COMP-THERM-021-057",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00833,0.00043
"215","HEU-COMP-THERM-021-058",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00896,0.00035
"216","HEU-COMP-THERM-021-058",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00914,0.00042
"217","HEU-COMP-THERM-021-059",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00757,0.00039
"218","HEU-COMP-THERM-021-059",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00695,0.00039
"219","HEU-COMP-THERM-021-060",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00926,0.00042
"220","HEU-COMP-THERM-021-060",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00812,0.00044
"221","HEU-COMP-THERM-021-061",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00865,0.00038
"222","HEU-COMP-THERM-021-061",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00742,0.00038
"223","HEU-COMP-THERM-021-062",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.0083,0.00041
"224","HEU-COMP-THERM-021-062",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00789,0.00041
"225","HEU-COMP-THERM-021-063",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.0136,0.00039
"226","HEU-COMP-THERM-021-063",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01453,0.00039
"227","HEU-COMP-THERM-021-064",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01357,0.00038
"228","HEU-COMP-THERM-021-064",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01431,0.00038
"229","HEU-COMP-THERM-021-065",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01352,0.00042
"230","HEU-COMP-THERM-021-065",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01407,0.00043
"231","HEU-COMP-THERM-021-066",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01513,0.00042
"232","HEU-COMP-THERM-021-066",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01467,0.00036
"233","HEU-COMP-THERM-021-067",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01322,0.00044
